Date,Open,High,Low,Close,Adj Close,Volume
2/8/21,90.208,90.379997,89.869003,90.379997,86.884705,1354100
2/9/21,90.220001,90.449997,90.120003,90.300003,86.807808,1325400
2/10/21,90.780998,90.780998,89.720001,90.349998,86.855865,797400
2/11/21,90.580002,90.733002,89.900002,90.529999,87.028908,793000
2/12/21,90.309998,91.040001,90.309998,90.970001,87.451889,605700
2/16/21,91.330002,91.339996,90.650002,90.870003,87.355759,1283000
2/17/21,90.355003,90.790001,90,90.760002,87.250008,745800
2/18/21,90.163002,90.559998,89.629997,90.389999,86.894318,815000
2/19/21,90.769997,90.799004,90.139999,90.209999,86.721275,546000
2/22/21,89.559998,90.029999,89.389,89.43,85.971451,588600
2/23/21,88.709999,89.739998,87.550003,89.470001,86.009895,654700
2/24/21,89.139999,90.400002,88.82,90.339996,86.846252,627900
2/25/21,90.07,90.370003,87.709999,88.099998,84.692879,749200
2/26/21,88.449997,88.860001,87.160004,87.730003,84.337204,942700
3/1/21,88.958,90.18,88.928001,89.900002,86.423279,955100
3/2/21,90.07,90.07,89.07,89.089996,85.644592,827900
3/3/21,88.940002,89.169998,87.699997,87.730003,84.337204,692100
3/4/21,87.610001,88.199997,85.373001,86.440002,83.097076,1003900
3/5/21,87.339996,88.296997,85.349998,88.089996,84.68325,830100
3/8/21,88.150002,88.949997,87.455002,87.519997,84.135307,1021200
3/9/21,88.449997,89.535004,88.449997,88.919998,85.481163,1380700
3/10/21,89.57,89.845001,89.138,89.410004,85.952225,686500
3/11/21,90.040001,90.93,90,90.419998,86.923164,712600
3/12/21,90.080002,90.559998,89.841003,90.559998,87.057732,1367400
3/15/21,90.599998,91.209999,90.099998,91.199997,87.672989,809700
3/16/21,91.239998,91.480003,90.739998,90.980003,87.461494,821400
3/17/21,90.519997,91.480003,90.300003,91.260002,87.730675,600000
3/18/21,90.529999,91.059998,89.690002,89.800003,86.327141,709500
3/19/21,89.610001,90.123001,89.110001,89.730003,86.259834,648200
3/22/21,89.769997,90.790001,89.769997,90.480003,86.980843,614700
3/23/21,90.25,90.650002,89.553001,89.790001,86.317528,1681300
3/24/21,90.099998,90.384003,89.120003,89.120003,85.673431,961100
3/25/21,88.440002,89.529999,88,89.339996,86.14785,836300
3/26/21,89.75,90.870003,89.434998,90.800003,87.555702,840600
3/29/21,90.459999,90.889999,90,90.599998,87.362831,1791600
3/30/21,90.339996,90.589996,90.019997,90.449997,87.218185,923300
3/31/21,90.614998,91.330002,90.589996,90.870003,87.623192,880400
4/1/21,91.330002,91.949997,91.330002,91.949997,88.664597,1935600
4/5/21,92.769997,93.260002,92.629997,93.169998,89.841011,1351600
4/6/21,93.07,93.440002,93.010002,93.18,89.850655,894300
4/7/21,93.059998,93.348,92.970001,93.260002,89.927795,785000
4/8/21,93.589996,93.769997,93.370003,93.769997,90.419556,909200
4/9/21,93.800003,94.455002,93.730003,94.449997,91.075264,945500
4/12/21,94.290001,94.550003,94.139999,94.480003,91.104202,890800
4/13/21,94.589996,95.004997,94.449997,94.860001,91.470627,847200
4/14/21,94.900002,95.096001,94.317001,94.470001,91.094559,1004900
4/15/21,94.959999,95.540001,94.959999,95.529999,92.116684,1842000
4/16/21,95.769997,95.980003,95.43,95.779999,92.357742,694100
4/19/21,95.599998,95.620003,94.879997,95.230003,91.8274,1099000
4/20/21,95.050003,95.18,94.220001,94.629997,91.24884,1939100
4/21/21,94.339996,95.529999,94.339996,95.529999,92.116684,1290300
4/22/21,95.57,95.730003,94.410004,94.68,91.297058,1484900
4/23/21,94.839996,96.040001,94.790001,95.739998,92.319191,1031600
4/26/21,95.830002,96.065002,95.769997,95.959999,92.531311,660100
4/27/21,96,96.025002,95.634003,95.830002,92.40596,946400
4/28/21,95.790001,96.150002,95.684998,95.790001,92.367378,1434900
4/29/21,96.449997,96.589996,95.470001,96.269997,92.830254,1279200
4/30/21,95.769997,95.925003,95.379997,95.510002,92.097412,1015400
5/3/21,96.059998,96.129997,95.635002,95.75,92.328827,769400
5/4/21,95.18,95.379997,94.160004,95.120003,91.721344,1403700
5/5/21,95.476997,95.519997,94.908997,95.080002,91.68277,782300
5/6/21,95.080002,95.769997,94.510002,95.769997,92.348114,1003700
5/7/21,96.059998,96.629997,95.870003,96.480003,93.032753,1145900
5/10/21,96.470001,96.510002,95.440002,95.440002,92.029892,753200
5/11/21,94.18,94.860001,93.690002,94.730003,91.345268,1144900
5/12/21,94.080002,94.280998,92.449997,92.610001,89.301033,897100
5/13/21,92.940002,94.129997,92.940002,93.599998,90.255646,1094000
5/14/21,94.269997,95.345001,94.269997,95.139999,91.740616,707900
5/17/21,94.889999,95.080002,94.360001,94.879997,91.489899,839100
5/18/21,94.910004,94.980003,94.040001,94.07,90.708862,820500
5/19/21,92.800003,93.849998,92.57,93.760002,90.409912,557600
5/20/21,94.019997,95.230003,94.019997,94.949997,91.557396,890100
5/21/21,95.300003,95.610001,94.760002,94.889999,91.49955,746100
5/24/21,95.290001,96.120003,95.290001,95.879997,92.454178,653000
5/25/21,96.169998,96.190002,95.542999,95.690002,92.270973,714400
5/26/21,95.800003,96.040001,95.619003,95.93,92.502396,3009800
5/27/21,96.150002,96.230003,95.910004,95.949997,92.521675,998500
5/28/21,96.25,96.440002,96.099998,96.18,92.743462,758100
6/1/21,96.68,96.769997,95.949997,96.029999,92.598824,1137100
6/2/21,96.190002,96.410004,95.980003,96.279999,92.839882,996000
6/3/21,95.93,96.089996,95.260002,95.839996,92.415604,758700
6/4/21,96.220001,96.790001,96.195,96.730003,93.273819,1499500
6/7/21,96.800003,96.800003,96.491997,96.75,93.293098,541800
6/8/21,96.985001,97,96.335999,96.809998,93.35096,534300
6/9/21,97.029999,97.029999,96.589996,96.629997,93.177383,598200
6/10/21,96.669998,97.050003,96.394997,96.910004,93.687836,585800
6/11/21,96.93,97.129997,96.720001,97.129997,93.900497,549600
6/14/21,97.220001,97.379997,96.880997,97.379997,94.142204,1120900
6/15/21,97.410004,97.410004,96.93,97.120003,93.890854,717700
6/16/21,97.160004,97.18,96.050003,96.610001,93.397812,709400
6/17/21,96.629997,96.82,95.955002,96.639999,93.426811,644100
6/18/21,95.989998,96,95.330002,95.330002,92.160362,717500
6/21/21,95.620003,96.669998,95.540001,96.629997,93.417145,1245100
6/22/21,96.739998,97.404999,96.510002,97.150002,93.919846,575400
6/23/21,97.199997,97.43,97.099998,97.150002,93.919846,538600
6/24/21,97.739998,97.809998,97.586998,97.709999,94.461235,1229500
6/25/21,98,98.110001,97.792999,98.029999,94.770584,584300
6/28/21,98.43,98.43,97.953003,98.330002,95.060608,572600
6/29/21,98.436996,98.580002,98.290001,98.43,95.157295,1062100
6/30/21,98.339996,98.589996,98.300003,98.470001,95.195953,938500
7/1/21,98.580002,98.959999,98.530998,98.959999,95.669655,1784100
7/2/21,99.129997,99.739998,99.089996,99.68,96.36573,627600
7/6/21,99.849998,99.849998,98.838997,99.489998,96.182045,736400
7/7/21,99.790001,99.919998,99.179001,99.879997,96.559082,657100
7/8/21,98.449997,99.209999,98.260002,99.050003,95.756676,746600
7/9/21,99.269997,100.139999,99.269997,100.07,96.74276,475500
7/12/21,100.269997,100.419998,100,100.400002,97.061783,2612400
7/13/21,100.150002,100.57,99.961998,100.059998,96.733086,603900
7/14/21,100.339996,100.610001,99.82,100.129997,96.800758,2245800
7/15/21,100.080002,100.080002,99.300003,99.82,96.501076,606800
7/16/21,99.989998,100.129997,98.974998,99.110001,95.814682,580900
7/19/21,97.910004,97.985001,97,97.629997,94.383888,862500
7/20/21,98,99.455002,97.720001,99.120003,95.824348,1421300
7/21/21,99.309998,99.934998,99.309998,99.889999,96.568748,933100
7/22/21,99.910004,100.190002,99.724998,100.120003,96.7911,459300
7/23/21,100.75,101.300003,100.480003,101.25,97.883522,12671600
7/26/21,101.209999,101.449997,101.040001,101.449997,98.076866,2517700
7/27/21,101.07,101.07,100.161003,100.900002,97.545158,1055500
7/28/21,100.93,101.194,100.550003,100.860001,97.506493,1343700
7/29/21,100.839996,101.540001,100.839996,101.269997,97.902855,749100
7/30/21,100.610001,101.050003,100.529999,100.660004,97.313141,1429100
8/2/21,101.190002,101.220001,100.459999,100.529999,97.187462,724500
8/3/21,100.817001,101.290001,100.150002,101.290001,97.922188,897500
8/4/21,100.949997,101.150002,100.754997,100.900002,97.545158,1359400
